Building/Name,Address_#,Street,Cira,Status_on_Register,_Year_Added_,By-Law/Report,Ownership
Queen Anne Revival style house,372,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,416,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,488,Red River Road,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,430,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,436,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,471,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,439,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,450,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,454,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,463,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,472,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,329,Waverley Street ,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,363,Waverley Street ,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,373,Waverley Street ,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style house,375,Waverley Street ,1905,Designated - Waverley Park,1988,65,Private
Queen Anne Revival style semi-detached house,459-461,St. Patrick's Square,1905,Designated - Waverley Park,1988,65,Private
St. Andrew's Roman Catholic (original - now parish hall),292,Red River Road,1900,Designated - Waverley Park,1988,65,Public Agency
St. Andrew's Roman Catholic Church,292,Red River Road,1924,Designated - Waverley Park,1988,65,Public Agency
St. Andrew's Roman Catholic rectory,292,Red River Road,1950,Designated - Waverley Park,1988,65,Public Agency
St. Patrick's Square,-,St. Patrick's Square,1903,Designated - Waverley Park,1988,65,City of Thunder Bay
St. Paul's United Church,349,Waverley Street ,1913,Designated - Waverley Park,1988,65,Public Agency
St. Paul's United Church Hall,349,Waverley Street ,1950,Designated - Waverley Park,1988,65,Public Agency
St. Paul's United Church Manse,349,Waverley Street ,1950,Designated - Waverley Park,1988,65,Public Agency
Stucco house,330,Red River Road,1920,Designated - Waverley Park,1988,65,Private
Waverley Park ,-,Waverley Street & Red River Rd,1871,Designated - Waverley Park,1988,65,City of Thunder Bay
Waverley Park Cenotaph,-,Waverley Park,1925,Designated - Waverley Park,1988,65,City of Thunder Bay
Waverley Park Lookout,-,Waverley St. & Red River Road,1911,Designated - Waverley Park,1988,65,City of Thunder Bay
Waverley Resource Library,285,Waverley Street ,1951,Designated - Waverley Park,1988,65,City of Thunder Bay (board-run)
O'Kelly Armoury,317,Park Avenue,1913,Designated - Waverley Park / Listed,1988 / Listed 2009,65 / listed  Report No. 2009.110,Federal Government
Graham City Livery  *DEMOLISHED,220,Cooke Street,1903,Listed,2008,,Private
CPR Union Station,440,Syndicate Avenue South,1911,Listed,2009,Report No. 2009.110,Private
Federal Building,130,Syndicate Avenue South,1935,Listed,2009,Report No. 2009.110,Federal Government
Kaministiquia (Kam) Bascule Bridge,-,106th Street,1910-1913,Listed,2009,Report No. 2009.110,Private
Knox United Church,303,Pruden Street,1889,Listed,2009,Report No. 2009.179,Public Agency
Lyceum Theatre,12-22,Cumberland Street North,1909,Listed,2009,Report No. 2009.179,Private
McIntyre House,1017,Isabella Street East,1878,Listed,2009,Report No. 2009.029,Private
McKellar Lift Bridge,-,Island Drive,1911,Listed,2009,Report No. 2009.110,Private
Prince Arthur Waterfront Hotel & Suites ,17,Cumberland Street North,1911,Listed,2009,Report No. 2009.029,Private
Revenue Canada Building,201,May Street North,1913-1916,Listed,2009,Report No. 2009.110,Federal Government
Thunder Bay District Court House,277,Camelot Street,1924,Listed,2009,Report No. 2009.110,Private
Thunder Bay Jail and Thunder Bay Governor's Residence,285,McDougall Street,1926,Listed,2009,Report No. 2009.110,Provincal Government
Ukrainian Catholic Church of the Transfiguration,629,McIntosh Street,1918,Listed,2009,Report No. 2009.029,Public Agency
Wesley United Church,130,Brodie Street North,1910,Listed,2009,Report No. 2009.179,Public Agency
Wiley Estate / St. Joseph's Manor House,640,Red River Road,1910,Listed,2009,Report No. 2009.179,Public Agency
Bishop's Residence,1306,Ridgeway Street East,1911,Listed,2010,Report No. 2010.034,Public Agency
Canadian Car & Foundry National Historic Site of Canada,1001,Montreal Street,1909,Listed,2010,Report No. 2010.189,Private
Dease Pool,370,Vickers Street North,1911,Listed,2010,Report No. 2010.068,City of Thunder Bay
Dr. Dewar's,121,McKellar Street,1907,Listed,2010,Report No. 2010.034,Private
Fort William Grain Exchange - Chapple Building,701,Victoria Avenue East,1913,Listed,2010,Report No. 2010.219,Private
George Graham Residence,400,Archibald Street South,1910,Listed,2010,Report No. 2010.189,Private
H.M.C.S. Griffon,125,Algoma Street North,1895,Listed,2010,Report No. 2010.034,Federal
Heath Pool,1251,Heath Street,1949,Listed,2010,Report No. 2010.068,City of Thunder Bay
John King Residence,302,Archibald Street South,1905,Listed,2010,Report No. 2010.189,Private
Maudslay Court,151,Court Street North,1914,Listed,2010,Report No. 2010.146,Private
Northwestern Ontario Sports Hall of Fame (Land Registry Office),219,May Street South,1916,Listed,2010,Report No. 2010.189,City of Thunder Bay (board-run)
Ross Residence (Sandstone Manor),400,Catherine Street South,1911,Listed,2010,Report No. 2010.189,Private
St. Peter's Roman Catholic Church,700,McIntosh Street,1911,Listed,2010,Report No. 2010.034,Public Agency
Thunder Bay Main Lighthouse,-,Thunder Bay Breakwater,1939-1940,Listed,2010,Report No. 2010.034,Federal Governement
Ukrainian Orthodox Church of the Assumption of the Blessed Virgin Mary,716,Pacific Avenue,1911,Listed,2010,Report No. 2010.034,Public Agency
Atkinson's Jewellers,8,Cumberland Street South,1909,Listed,2011,Report No. 2011.058,Private
Bank of Montreal / Prospector Steak House,27,Cumberland Street South,1913,Listed,2011,Report No. 2011.058,Private
Hillcrest High School (Former),96,High Street North,1928,Listed,2011,Report No. 2011.058,Private
Iron Ore Dock,490,Maureen Street,1944-1946,Listed,2011,Report No. 2011.058,Private
McVicar Manor (Walsh Residence),146,Court Street North,1906,Listed,2011,Report No. 2011.058,Private
Paterson Building / TBT Engineering Ltd.,1918, Younge Street,1908,Listed,2011,Report No. 2011.058,Private
Ruttan Block,2-18,Court Street South,1909,Listed,2011,Report No. 2011.058,Private
St. Patrick High School,621,Selkirk Street South,1931,Listed,2011,Report No. 2011.058,Public Agency
St. Paul's Anglican Church,808,Ridgeway Street East,1908,Listed,2011,Report No. 2011.058,Public Agency
Ukrainian Catholic Cemetery,1705,Arthur Street West,1913,Listed,2013,Report No. 2013.112,Public Agency
Windrose (F.R. Morris Residence),1100,Ridgeway Street East,1910,Listed,2013,Report No. 2013.112,Private
City Hall Cenotaph Monument,500,Donald Street East,1921,Listed,2014,Report No. 2014.014,City of Thunder Bay
Saint John the Evangelist Anglican Church,226-228,Pearl Street,1884,Listed,2014,Report No. 2014.014,Public Agency
Times-Journal Building,115,May Street North,1900,Listed,2014,Report No. 2014.014,Private
Caledonia Building,317,Victoria Avenue East,1906,Listed,2015,Report No. 2015-183,Private
St. Ansgarius Swedish Church   *DEMOLISHED,179,Secord Street,1906-1907,Listed,2015,Report No. 2015-183,Private
Centennial Botanical Conservatory ,1601,Dease Street West,1965-1967,Listed,2019,Report No. 2019-129,City of Thunder Bay
Paramount Theatre,24,Court Street South,1947-1948,Listed,2019,Report No. 2019-129,Private
The Doctor's Cottage,281,Ray Court,1906,Listed,2022,Report No. R 104/2022,Private
